id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
adt001,adt,hospital_type,academic,academic,2.1;3.0,,active,,,,,UNMAPPED,
adt002,adt,hospital_type,community,community,2.1;3.0,,active,,,,,UNMAPPED,
adt003,adt,hospital_type,ltach,LTACH,2.1;3.0,"{""2.1"":""LTACH""}",active,,,,,UNMAPPED,
adt004,adt,location_category,ed,ed,2.1;3.0,,active,,,,,UNMAPPED,
adt005,adt,location_category,ward,ward,2.1;3.0,,active,,,,,UNMAPPED,
adt006,adt,location_category,stepdown,stepdown,2.1;3.0,,active,,,,,UNMAPPED,
adt007,adt,location_category,icu,icu,2.1;3.0,,active,,,,,UNMAPPED,
adt008,adt,location_category,procedural,procedural,2.1;3.0,,active,,,,,UNMAPPED,
adt009,adt,location_category,l_and_d,l&d,2.1;3.0,"{""2.1"":""l&d""}",active,,,,,UNMAPPED,
adt010,adt,location_category,hospice,hospice,2.1;3.0,,active,,,,,UNMAPPED,
adt011,adt,location_category,psych,psych,2.1;3.0,,active,,,,,UNMAPPED,
adt012,adt,location_category,rehab,rehab,2.1;3.0,,active,,,,,UNMAPPED,
adt013,adt,location_category,radiology,radiology,2.1;3.0,,active,,,,,UNMAPPED,
adt014,adt,location_category,dialysis,dialysis,2.1;3.0,,active,,,,,UNMAPPED,
adt015,adt,location_category,other,other,2.1;3.0,,active,,,,,UNMAPPED,
adt016,adt,location_type,general_icu,general_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt017,adt,location_type,cardiac_icu,cardiac_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt018,adt,location_type,cardiothoracic_surgical_icu,cardiothoracic_surgical_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt019,adt,location_type,mixed_cardiothoracic_icu,mixed_cardiothoracic_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt020,adt,location_type,surgical_icu,surgical_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt021,adt,location_type,burn_icu,burn_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt022,adt,location_type,neuro_icu,neuro_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt023,adt,location_type,neurosurgical_icu,neurosurgical_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt024,adt,location_type,mixed_neuro_icu,mixed_neuro_icu,2.1;3.0,,active,,,,,UNMAPPED,
adt025,adt,location_type,medical_icu,medical_icu,2.1;3.0,,active,,,,,UNMAPPED,
