id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
cnf001,clinical_notes_facts,note_type_category,h_and_p_note,H And P Note,3.0,,active,,,,,UNMAPPED,
cnf002,clinical_notes_facts,note_type_category,progress_note,Progress Note,3.0,,active,,,,,UNMAPPED,
cnf003,clinical_notes_facts,note_type_category,consult_note,Consult Note,3.0,,active,,,,,UNMAPPED,
cnf004,clinical_notes_facts,note_type_category,procedure_note,Procedure Note,3.0,,active,,,,,UNMAPPED,
cnf005,clinical_notes_facts,note_type_category,discharge_summary,Discharge Summary,3.0,,active,,,,,UNMAPPED,
cnf006,clinical_notes_facts,note_type_category,transfer_note,Transfer Note,3.0,,active,,,,,UNMAPPED,
cnf007,clinical_notes_facts,note_type_category,therapy_note,Therapy Note,3.0,,active,,,,,UNMAPPED,
cnf008,clinical_notes_facts,note_type_category,nutrition_note,Nutrition Note,3.0,,active,,,,,UNMAPPED,
cnf009,clinical_notes_facts,note_type_category,pharmacy_note,Pharmacy Note,3.0,,active,,,,,UNMAPPED,
cnf010,clinical_notes_facts,note_type_category,nursing_note,Nursing Note,3.0,,active,,,,,UNMAPPED,
cnf011,clinical_notes_facts,note_type_category,case_management_note,Case Management Note,3.0,,active,,,,,UNMAPPED,
cnf012,clinical_notes_facts,note_type_category,death_pronouncement,Death Pronouncement,3.0,,active,,,,,UNMAPPED,
cnf013,clinical_notes_facts,note_type_category,patient_instructions,Patient Instructions,3.0,,active,,,,,UNMAPPED,
