id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
edn001,ed_encounter,arrival_mode_category,ems_air,Ems Air,3.0,,active,,,,,UNMAPPED,
edn002,ed_encounter,arrival_mode_category,ems_ground,Ems Ground,3.0,,active,,,,,UNMAPPED,
edn003,ed_encounter,arrival_mode_category,law_enforcement,Law Enforcement,3.0,,active,,,,,UNMAPPED,
edn004,ed_encounter,arrival_mode_category,other,Other,3.0,,active,,,,,UNMAPPED,
edn005,ed_encounter,arrival_mode_category,private_vehicle,Private Vehicle,3.0,,active,,,,,UNMAPPED,
edn006,ed_encounter,arrival_mode_category,transfer_ambulance,Transfer Ambulance,3.0,,active,,,,,UNMAPPED,
edn007,ed_encounter,arrival_mode_category,transfer_private_vehicle,Transfer Private Vehicle,3.0,,active,,,,,UNMAPPED,
edn008,ed_encounter,arrival_mode_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
edn009,ed_encounter,arrival_mode_category,walk_in,Walk In,3.0,,active,,,,,UNMAPPED,
edn010,ed_encounter,triage_system_category,ctas,Ctas,3.0,,active,,,,,UNMAPPED,
edn011,ed_encounter,triage_system_category,esi,Esi,3.0,,active,,,,,UNMAPPED,
edn012,ed_encounter,triage_system_category,other,Other,3.0,,active,,,,,UNMAPPED,
edn013,ed_encounter,triage_system_category,other_5_level,Other 5 Level,3.0,,active,,,,,UNMAPPED,
edn014,ed_encounter,triage_system_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
edn015,ed_encounter,triage_acuity_category,level_1,Level 1,3.0,,active,,,,,UNMAPPED,
edn016,ed_encounter,triage_acuity_category,level_2,Level 2,3.0,,active,,,,,UNMAPPED,
edn017,ed_encounter,triage_acuity_category,level_3,Level 3,3.0,,active,,,,,UNMAPPED,
edn018,ed_encounter,triage_acuity_category,level_4,Level 4,3.0,,active,,,,,UNMAPPED,
edn019,ed_encounter,triage_acuity_category,level_5,Level 5,3.0,,active,,,,,UNMAPPED,
edn020,ed_encounter,triage_acuity_category,other,Other,3.0,,active,,,,,UNMAPPED,
edn021,ed_encounter,triage_acuity_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
edn022,ed_encounter,ed_disposition_category,admit,Admit,3.0,,active,,,,,UNMAPPED,
edn023,ed_encounter,ed_disposition_category,ama,Ama,3.0,,active,,,,,UNMAPPED,
edn024,ed_encounter,ed_disposition_category,discharge,Discharge,3.0,,active,,,,,UNMAPPED,
edn025,ed_encounter,ed_disposition_category,expired,Expired,3.0,,active,,,,,UNMAPPED,
edn026,ed_encounter,ed_disposition_category,lwbs,Lwbs,3.0,,active,,,,,UNMAPPED,
edn027,ed_encounter,ed_disposition_category,observation,Observation,3.0,,active,,,,,UNMAPPED,
edn028,ed_encounter,ed_disposition_category,other,Other,3.0,,active,,,,,UNMAPPED,
edn029,ed_encounter,ed_disposition_category,transfer,Transfer,3.0,,active,,,,,UNMAPPED,
edn030,ed_encounter,ed_destination_category,acute_care_hosp,Acute Care Hosp,3.0,,active,,,,,UNMAPPED,
edn031,ed_encounter,ed_destination_category,acute_ip_rehab,Acute Ip Rehab,3.0,,active,,,,,UNMAPPED,
edn032,ed_encounter,ed_destination_category,ama,Ama,3.0,,active,,,,,UNMAPPED,
edn033,ed_encounter,ed_destination_category,assisted_living,Assisted Living,3.0,,active,,,,,UNMAPPED,
edn034,ed_encounter,ed_destination_category,chemical_dependency,Chemical Dependency,3.0,,active,,,,,UNMAPPED,
edn035,ed_encounter,ed_destination_category,expired,Expired,3.0,,active,,,,,UNMAPPED,
edn036,ed_encounter,ed_destination_category,group_home,Group Home,3.0,,active,,,,,UNMAPPED,
edn037,ed_encounter,ed_destination_category,home,Home,3.0,,active,,,,,UNMAPPED,
edn038,ed_encounter,ed_destination_category,hospice,Hospice,3.0,,active,,,,,UNMAPPED,
edn039,ed_encounter,ed_destination_category,jail,Jail,3.0,,active,,,,,UNMAPPED,
edn040,ed_encounter,ed_destination_category,ltach,Ltach,3.0,,active,,,,,UNMAPPED,
edn041,ed_encounter,ed_destination_category,lwbs,Lwbs,3.0,,active,,,,,UNMAPPED,
edn042,ed_encounter,ed_destination_category,mental_health_hosp,Mental Health Hosp,3.0,,active,,,,,UNMAPPED,
edn043,ed_encounter,ed_destination_category,missing,Missing,3.0,,active,,,,,UNMAPPED,
edn044,ed_encounter,ed_destination_category,other,Other,3.0,,active,,,,,UNMAPPED,
edn045,ed_encounter,ed_destination_category,shelter,Shelter,3.0,,active,,,,,UNMAPPED,
edn046,ed_encounter,ed_destination_category,snf,Snf,3.0,,active,,,,,UNMAPPED,
edn047,ed_encounter,ed_destination_category,still_admitted,Still Admitted,3.0,,active,,,,,UNMAPPED,
