id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
inp001,input,input_category,iv_crystalloid,Iv Crystalloid,3.0,,active,,,,,UNMAPPED,
inp002,input,input_category,iv_colloid,Iv Colloid,3.0,,active,,,,,UNMAPPED,
inp003,input,input_category,blood_products,Blood Products,3.0,,active,,,,,UNMAPPED,
inp004,input,input_category,parenteral_nutrition,Parenteral Nutrition,3.0,,active,,,,,UNMAPPED,
inp005,input,input_category,po_intake,Po Intake,3.0,,active,,,,,UNMAPPED,
inp006,input,input_category,enteral_nutrition,Enteral Nutrition,3.0,,active,,,,,UNMAPPED,
inp007,input,input_category,enteral_water,Enteral Water,3.0,,active,,,,,UNMAPPED,
inp008,input,input_category,iv_medication,Iv Medication,3.0,,active,,,,,UNMAPPED,
inp009,input,input_category,enteral_medication,Enteral Medication,3.0,,active,,,,,UNMAPPED,
inp010,input,input_category,renal_replacement_fluids,Renal Replacement Fluids,3.0,,active,,,,,UNMAPPED,
inp011,input,input_category,flush_irrigation_urine,Flush Irrigation Urine,3.0,,active,,,,,UNMAPPED,
inp012,input,input_category,flush_irrigation_drain,Flush Irrigation Drain,3.0,,active,,,,,UNMAPPED,
inp013,input,input_category,flush_irrigation_gi,Flush Irrigation Gi,3.0,,active,,,,,UNMAPPED,
inp014,input,input_category,flush_irrigation_respiratory,Flush Irrigation Respiratory,3.0,,active,,,,,UNMAPPED,
inp015,input,input_category,flush_irrigation_other,Flush Irrigation Other,3.0,,active,,,,,UNMAPPED,
inp016,input,input_category,other,Other,3.0,,active,,,,,UNMAPPED,
inp017,input,input_group,iv_fluids,Iv Fluids,3.0,,active,,,,,UNMAPPED,
inp018,input,input_group,blood_products,Blood Products,3.0,,active,,,,,UNMAPPED,
inp019,input,input_group,nutrition,Nutrition,3.0,,active,,,,,UNMAPPED,
inp020,input,input_group,medication_fluids,Medication Fluids,3.0,,active,,,,,UNMAPPED,
inp021,input,input_group,renal_replacement_fluids,Renal Replacement Fluids,3.0,,active,,,,,UNMAPPED,
inp022,input,input_group,flush_irrigation,Flush Irrigation,3.0,,active,,,,,UNMAPPED,
inp023,input,input_group,other,Other,3.0,,active,,,,,UNMAPPED,
