id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
ihd001,invasive_hemodynamics,measurement_category,cvp,Cvp,3.0,,active,,,,,UNMAPPED,
ihd002,invasive_hemodynamics,measurement_category,rv_systolic,Rv Systolic,3.0,,active,,,,,UNMAPPED,
ihd003,invasive_hemodynamics,measurement_category,rv_diastolic,Rv Diastolic,3.0,,active,,,,,UNMAPPED,
ihd004,invasive_hemodynamics,measurement_category,pa_systolic,Pa Systolic,3.0,,active,,,,,UNMAPPED,
ihd005,invasive_hemodynamics,measurement_category,pa_diastolic,Pa Diastolic,3.0,,active,,,,,UNMAPPED,
ihd006,invasive_hemodynamics,measurement_category,pa_mean,Pa Mean,3.0,,active,,,,,UNMAPPED,
ihd007,invasive_hemodynamics,measurement_category,pcwp,Pcwp,3.0,,active,,,,,UNMAPPED,
ihd008,invasive_hemodynamics,measurement_category,cco,Cco,3.0,,active,,,,,UNMAPPED,
ihd009,invasive_hemodynamics,measurement_category,cardiac_output_thermodilution,Cardiac Output Thermodilution,3.0,,active,,,,,UNMAPPED,
ihd010,invasive_hemodynamics,measurement_category,cardiac_index,Cardiac Index,3.0,,active,,,,,UNMAPPED,
ihd011,invasive_hemodynamics,measurement_category,cardiac_output_fick,Cardiac Output Fick,3.0,,active,,,,,UNMAPPED,
ihd012,invasive_hemodynamics,measurement_category,stroke_volume,Stroke Volume,3.0,,active,,,,,UNMAPPED,
ihd013,invasive_hemodynamics,measurement_category,ppv,Ppv,3.0,,active,,,,,UNMAPPED,
ihd014,invasive_hemodynamics,measurement_category,svv,Svv,3.0,,active,,,,,UNMAPPED,
ihd015,invasive_hemodynamics,measurement_category,svi,Svi,3.0,,active,,,,,UNMAPPED,
ihd016,invasive_hemodynamics,measurement_category,svr,Svr,3.0,,active,,,,,UNMAPPED,
ihd017,invasive_hemodynamics,measurement_category,svri,Svri,3.0,,active,,,,,UNMAPPED,
ihd018,invasive_hemodynamics,measurement_category,evlw,Evlw,3.0,,active,,,,,UNMAPPED,
ihd019,invasive_hemodynamics,measurement_category,evlwi,Evlwi,3.0,,active,,,,,UNMAPPED,
ihd020,invasive_hemodynamics,measurement_category,ef,Ef,3.0,,active,,,,,UNMAPPED,
ihd021,invasive_hemodynamics,measurement_category,itbi,Itbi,3.0,,active,,,,,UNMAPPED,
ihd022,invasive_hemodynamics,measurement_category,gedv,Gedv,3.0,,active,,,,,UNMAPPED,
ihd023,invasive_hemodynamics,measurement_category,lvswi,Lvswi,3.0,,active,,,,,UNMAPPED,
ihd024,invasive_hemodynamics,measurement_category,tfcd0,Tfcd0,3.0,,active,,,,,UNMAPPED,
ihd025,invasive_hemodynamics,measurement_category,tfc,Tfc,3.0,,active,,,,,UNMAPPED,
ihd026,invasive_hemodynamics,measurement_category,do2,Do2,3.0,,active,,,,,UNMAPPED,
