id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
kio001,key_icu_orders,order_category,pt,Pt,3.0,,active,,,,,UNMAPPED,
kio002,key_icu_orders,order_category,social_work,Social Work,3.0,,active,,,,,UNMAPPED,
kio003,key_icu_orders,order_category,ot,Ot,3.0,,active,,,,,UNMAPPED,
kio004,key_icu_orders,order_category,nutrition,Nutrition,3.0,,active,,,,,UNMAPPED,
kio005,key_icu_orders,order_category,swallowing,Swallowing,3.0,,active,,,,,UNMAPPED,
kio006,key_icu_orders,order_category,respiratory,Respiratory,3.0,,active,,,,,UNMAPPED,
kio007,key_icu_orders,order_category,interpreter,Interpreter,3.0,,active,,,,,UNMAPPED,
kio008,key_icu_orders,order_category,skin_care,Skin Care,3.0,,active,,,,,UNMAPPED,
kio009,key_icu_orders,order_category,pain_services,Pain Services,3.0,,active,,,,,UNMAPPED,
kio010,key_icu_orders,order_category,addiction_nurse,Addiction Nurse,3.0,,active,,,,,UNMAPPED,
kio011,key_icu_orders,order_category,speech,Speech,3.0,,active,,,,,UNMAPPED,
kio012,key_icu_orders,order_category,pastoral_services,Pastoral Services,3.0,,active,,,,,UNMAPPED,
kio013,key_icu_orders,order_category,palliative_care,Palliative Care,3.0,,active,,,,,UNMAPPED,
kio014,key_icu_orders,order_category,psych_liaison_nurse,Psych Liaison Nurse,3.0,,active,,,,,UNMAPPED,
kio015,key_icu_orders,order_category,et_nurse,Et Nurse,3.0,,active,,,,,UNMAPPED,
kio016,key_icu_orders,order_category,eeg,Eeg,3.0,,active,,,,,UNMAPPED,
kio017,key_icu_orders,order_category,other,Other,3.0,,active,,,,,UNMAPPED,
kio018,key_icu_orders,order_status_category,sent,Sent,3.0,,active,,,,,UNMAPPED,
kio019,key_icu_orders,order_status_category,completed,Completed,3.0,,active,,,,,UNMAPPED,
kio020,key_icu_orders,order_status_category,resulted,Resulted,3.0,,active,,,,,UNMAPPED,
kio021,key_icu_orders,order_status_category,canceled,Canceled,3.0,,active,,,,,UNMAPPED,
