id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
lab001,labs,lab_order_category,aki_biomarkers,Aki Biomarkers,3.0,,active,,,,,UNMAPPED,
lab002,labs,lab_order_category,bal_panel,Bal Panel,3.0,,active,,,,,UNMAPPED,
lab003,labs,lab_order_category,blood_gas,blood_gas,2.1;3.0,,active,,,,,UNMAPPED,
lab004,labs,lab_order_category,bmp,bmp,2.1;3.0,,active,,,,,UNMAPPED,
lab005,labs,lab_order_category,cardiac,Cardiac,3.0,,active,,,,,UNMAPPED,
lab006,labs,lab_order_category,cbc,cbc,2.1;3.0,,active,,,,,UNMAPPED,
lab007,labs,lab_order_category,coags,coags,2.1;3.0,,active,,,,,UNMAPPED,
lab008,labs,lab_order_category,inflammatory,Inflammatory,3.0,,active,,,,,UNMAPPED,
lab009,labs,lab_order_category,lft,lft,2.1;3.0,,active,,,,,UNMAPPED,
lab010,labs,lab_order_category,misc,misc,2.1;3.0,,active,,,,,UNMAPPED,
lab011,labs,lab_order_category,mixed_venous_blood_gas,Mixed Venous Blood Gas,3.0,,active,,,,,UNMAPPED,
lab012,labs,lab_order_category,peritoneal_fluid_panel,Peritoneal Fluid Panel,3.0,,active,,,,,UNMAPPED,
lab013,labs,lab_order_category,pleural_fluid_panel,Pleural Fluid Panel,3.0,,active,,,,,UNMAPPED,
lab014,labs,lab_order_category,poc,Poc,3.0,,active,,,,,UNMAPPED,
lab015,labs,lab_order_category,tft,Tft,3.0,,active,,,,,UNMAPPED,
lab016,labs,lab_order_category,urine_chemistry,Urine Chemistry,3.0,,active,,,,,UNMAPPED,
lab017,labs,lab_order_category,urine_toxicology,Urine Toxicology,3.0,,active,,,,,UNMAPPED,
lab018,labs,lab_category,ada,Ada,3.0,,active,,,,,UNMAPPED,
lab019,labs,lab_category,albumin,albumin,2.1;3.0,,active,,,,,UNMAPPED,
lab020,labs,lab_category,albumin_to_creatinine_ratio,Albumin To Creatinine Ratio,3.0,,active,,,,,UNMAPPED,
lab021,labs,lab_category,alkaline_phosphatase,alkaline_phosphatase,2.1;3.0,,active,,,,,UNMAPPED,
lab022,labs,lab_category,alt,alt,2.1;3.0,,active,,,,,UNMAPPED,
lab023,labs,lab_category,amphetamine,Amphetamine,3.0,,active,,,,,UNMAPPED,
lab024,labs,lab_category,amylase,Amylase,3.0,,active,,,,,UNMAPPED,
lab025,labs,lab_category,ast,ast,2.1;3.0,,active,,,,,UNMAPPED,
lab026,labs,lab_category,barbiturate,Barbiturate,3.0,,active,,,,,UNMAPPED,
lab027,labs,lab_category,basophils_absolute,basophils_absolute,2.1;3.0,,active,,,,,UNMAPPED,
lab028,labs,lab_category,basophils_percent,basophils_percent,2.1;3.0,,active,,,,,UNMAPPED,
lab029,labs,lab_category,benzodiazepine,Benzodiazepine,3.0,,active,,,,,UNMAPPED,
lab030,labs,lab_category,bicarbonate,bicarbonate,2.1;3.0,,active,,,,,UNMAPPED,
lab031,labs,lab_category,bilirubin,Bilirubin,3.0,,active,,,,,UNMAPPED,
lab032,labs,lab_category,bilirubin_conjugated,bilirubin_conjugated,2.1;3.0,,active,,,,,UNMAPPED,
lab033,labs,lab_category,bilirubin_total,bilirubin_total,2.1;3.0,,active,,,,,UNMAPPED,
lab034,labs,lab_category,bilirubin_unconjugated,bilirubin_unconjugated,2.1;3.0,,active,,,,,UNMAPPED,
