id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
lin001,line,line_category,cvc,Cvc,3.0,,active,,,,,UNMAPPED,
lin002,line,line_category,art_line,Art Line,3.0,,active,,,,,UNMAPPED,
lin003,line,line_category,picc,Picc,3.0,,active,,,,,UNMAPPED,
lin004,line,line_category,midline,Midline,3.0,,active,,,,,UNMAPPED,
lin005,line,line_category,dialysis_catheter,Dialysis Catheter,3.0,,active,,,,,UNMAPPED,
lin006,line,line_category,swan_ganz,Swan Ganz,3.0,,active,,,,,UNMAPPED,
lin007,line,line_category,cordis,Cordis,3.0,,active,,,,,UNMAPPED,
lin008,line,line_category,piv,Piv,3.0,,active,,,,,UNMAPPED,
lin009,line,line_site,right_ij,Right Ij,3.0,,active,,,,,UNMAPPED,
lin010,line,line_site,left_ij,Left Ij,3.0,,active,,,,,UNMAPPED,
lin011,line,line_site,right_subclavian,Right Subclavian,3.0,,active,,,,,UNMAPPED,
lin012,line,line_site,left_subclavian,Left Subclavian,3.0,,active,,,,,UNMAPPED,
lin013,line,line_site,right_femoral,Right Femoral,3.0,,active,,,,,UNMAPPED,
lin014,line,line_site,left_femoral,Left Femoral,3.0,,active,,,,,UNMAPPED,
lin015,line,line_site,right_radial,Right Radial,3.0,,active,,,,,UNMAPPED,
lin016,line,line_site,left_radial,Left Radial,3.0,,active,,,,,UNMAPPED,
lin017,line,line_site,right_brachial,Right Brachial,3.0,,active,,,,,UNMAPPED,
lin018,line,line_site,left_brachial,Left Brachial,3.0,,active,,,,,UNMAPPED,
lin019,line,line_site,other,Other,3.0,,active,,,,,UNMAPPED,
