id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mac001,medication_admin_continuous,med_category,albumin_5,Albumin 5,3.0,,active,,,,,UNMAPPED,
mac002,medication_admin_continuous,med_category,albumin_25,Albumin 25,3.0,,active,,,,,UNMAPPED,
mac003,medication_admin_continuous,med_category,albuterol,albuterol,2.1;3.0,,active,,,,,UNMAPPED,
mac004,medication_admin_continuous,med_category,alprostadil,alprostadil,2.1;3.0,,active,,,,,UNMAPPED,
mac005,medication_admin_continuous,med_category,aminocaproic_acid,aminocaproic_acid,2.1;3.0,,active,,,,,UNMAPPED,
mac006,medication_admin_continuous,med_category,aminophylline,aminophylline,2.1;3.0,,active,,,,,UNMAPPED,
mac007,medication_admin_continuous,med_category,amiodarone,amiodarone,2.1;3.0,,active,,,,,UNMAPPED,
mac008,medication_admin_continuous,med_category,angiotensin,angiotensin,2.1;3.0,,active,,,,,UNMAPPED,
mac009,medication_admin_continuous,med_category,argatroban,argatroban,2.1;3.0,,active,,,,,UNMAPPED,
mac010,medication_admin_continuous,med_category,baclofen,baclofen,2.1;3.0,,active,,,,,UNMAPPED,
mac011,medication_admin_continuous,med_category,bivalirudin,bivalirudin,2.1;3.0,,active,,,,,UNMAPPED,
mac012,medication_admin_continuous,med_category,bumetanide,bumetanide,2.1;3.0,,active,,,,,UNMAPPED,
mac013,medication_admin_continuous,med_category,bupivacaine,bupivacaine,2.1;3.0,,active,,,,,UNMAPPED,
mac014,medication_admin_continuous,med_category,cangrelor,cangrelor,2.1;3.0,,active,,,,,UNMAPPED,
mac015,medication_admin_continuous,med_category,cisatracurium,cisatracurium,2.1;3.0,,active,,,,,UNMAPPED,
mac016,medication_admin_continuous,med_category,clevidipine,clevidipine,2.1;3.0,,active,,,,,UNMAPPED,
mac017,medication_admin_continuous,med_category,dexmedetomidine,dexmedetomidine,2.1;3.0,,active,,,,,UNMAPPED,
mac018,medication_admin_continuous,med_category,dextrose_10_water,dextrose_10_water,2.1;3.0,,active,,,,,UNMAPPED,
mac019,medication_admin_continuous,med_category,dextrose_5_water,dextrose_5_water,2.1;3.0,,active,,,,,UNMAPPED,
mac020,medication_admin_continuous,med_category,dextrose_other,dextrose_other,2.1;3.0,,active,,,,,UNMAPPED,
mac021,medication_admin_continuous,med_category,diltiazem,diltiazem,2.1;3.0,,active,,,,,UNMAPPED,
mac022,medication_admin_continuous,med_category,dobutamine,dobutamine,2.1;3.0,,active,,,,,UNMAPPED,
mac023,medication_admin_continuous,med_category,dopamine,dopamine,2.1;3.0,,active,,,,,UNMAPPED,
mac024,medication_admin_continuous,med_category,epinephrine,epinephrine,2.1;3.0,,active,,,,,UNMAPPED,
mac025,medication_admin_continuous,med_category,epoprostenol,epoprostenol,2.1;3.0,,active,,,,,UNMAPPED,
mac026,medication_admin_continuous,med_category,eptifibatide,eptifibatide,2.1;3.0,,active,,,,,UNMAPPED,
mac027,medication_admin_continuous,med_category,esmolol,esmolol,2.1;3.0,,active,,,,,UNMAPPED,
mac028,medication_admin_continuous,med_category,esomeprazole,esomeprazole,2.1;3.0,,active,,,,,UNMAPPED,
mac029,medication_admin_continuous,med_category,fentanyl,fentanyl,2.1;3.0,,active,,,,,UNMAPPED,
mac030,medication_admin_continuous,med_category,furosemide,furosemide,2.1;3.0,,active,,,,,UNMAPPED,
mac031,medication_admin_continuous,med_category,heparin,heparin,2.1;3.0,,active,,,,,UNMAPPED,
mac032,medication_admin_continuous,med_category,hydromorphone,hydromorphone,2.1;3.0,,active,,,,,UNMAPPED,
mac033,medication_admin_continuous,med_category,insulin,insulin,2.1;3.0,,active,,,,,UNMAPPED,
mac034,medication_admin_continuous,med_category,ipratropium,ipratropium,2.1;3.0,,active,,,,,UNMAPPED,
mac035,medication_admin_continuous,med_category,isoproterenol,isoproterenol,2.1;3.0,,active,,,,,UNMAPPED,
mac036,medication_admin_continuous,med_category,ketamine,ketamine,2.1;3.0,,active,,,,,UNMAPPED,
mac037,medication_admin_continuous,med_category,labetalol,labetalol,2.1;3.0,,active,,,,,UNMAPPED,
mac038,medication_admin_continuous,med_category,lactated_ringers_solution,lactated_ringers_solution,2.1;3.0,,active,,,,,UNMAPPED,
mac039,medication_admin_continuous,med_category,levothyroxine,levothyroxine,2.1;3.0,,active,,,,,UNMAPPED,
mac040,medication_admin_continuous,med_category,lidocaine,lidocaine,2.1;3.0,,active,,,,,UNMAPPED,
mac041,medication_admin_continuous,med_category,liothyronine,liothyronine,2.1;3.0,,active,,,,,UNMAPPED,
mac042,medication_admin_continuous,med_category,lorazepam,lorazepam,2.1;3.0,,active,,,,,UNMAPPED,
mac043,medication_admin_continuous,med_category,magnesium_sulfate,magnesium_sulfate,2.1;3.0,,active,,,,,UNMAPPED,
mac044,medication_admin_continuous,med_category,midazolam,midazolam,2.1;3.0,,active,,,,,UNMAPPED,
mac045,medication_admin_continuous,med_category,milrinone,milrinone,2.1;3.0,,active,,,,,UNMAPPED,
mac046,medication_admin_continuous,med_category,morphine,morphine,2.1;3.0,,active,,,,,UNMAPPED,
mac047,medication_admin_continuous,med_category,naloxone,naloxone,2.1;3.0,,active,,,,,UNMAPPED,
mac048,medication_admin_continuous,med_category,nicardipine,nicardipine,2.1;3.0,,active,,,,,UNMAPPED,
mac049,medication_admin_continuous,med_category,nitric_oxide,nitric_oxide,2.1;3.0,,active,,,,,UNMAPPED,
mac050,medication_admin_continuous,med_category,nitroglycerin,nitroglycerin,2.1;3.0,,active,,,,,UNMAPPED,
mac051,medication_admin_continuous,med_category,nitroprusside,nitroprusside,2.1;3.0,,active,,,,,UNMAPPED,
mac052,medication_admin_continuous,med_category,norepinephrine,norepinephrine,2.1;3.0,,active,,,,,UNMAPPED,
mac053,medication_admin_continuous,med_category,octreotide,octreotide,2.1;3.0,,active,,,,,UNMAPPED,
mac054,medication_admin_continuous,med_category,oxytocin,oxytocin,2.1;3.0,,active,,,,,UNMAPPED,
mac055,medication_admin_continuous,med_category,pantoprazole,pantoprazole,2.1;3.0,,active,,,,,UNMAPPED,
mac056,medication_admin_continuous,med_category,papaverine,papaverine,2.1;3.0,,active,,,,,UNMAPPED,
mac057,medication_admin_continuous,med_category,pentobarbital,pentobarbital,2.1;3.0,,active,,,,,UNMAPPED,
mac058,medication_admin_continuous,med_category,phentolamine,phentolamine,2.1;3.0,,active,,,,,UNMAPPED,
mac059,medication_admin_continuous,med_category,phenylephrine,phenylephrine,2.1;3.0,,active,,,,,UNMAPPED,
mac060,medication_admin_continuous,med_category,pitocin,pitocin,2.1;3.0,,active,,,,,UNMAPPED,
mac061,medication_admin_continuous,med_category,plasma_lyte,plasma_lyte,2.1;3.0,,active,,,,,UNMAPPED,
mac062,medication_admin_continuous,med_category,procainamide,procainamide,2.1;3.0,,active,,,,,UNMAPPED,
mac063,medication_admin_continuous,med_category,propofol,propofol,2.1;3.0,,active,,,,,UNMAPPED,
mac064,medication_admin_continuous,med_category,remifentanil,remifentanil,2.1;3.0,,active,,,,,UNMAPPED,
mac065,medication_admin_continuous,med_category,rocuronium,rocuronium,2.1;3.0,,active,,,,,UNMAPPED,
mac066,medication_admin_continuous,med_category,ropivacaine,ropivacaine,2.1;3.0,,active,,,,,UNMAPPED,
mac067,medication_admin_continuous,med_category,sodium_bicarbonate,sodium_bicarbonate,2.1;3.0,,active,,,,,UNMAPPED,
mac068,medication_admin_continuous,med_category,sodium_chloride,sodium_chloride,2.1;3.0,,active,,,,,UNMAPPED,
mac069,medication_admin_continuous,med_category,tacrolimus,tacrolimus,2.1;3.0,,active,,,,,UNMAPPED,
mac070,medication_admin_continuous,med_category,terbutaline,terbutaline,2.1;3.0,,active,,,,,UNMAPPED,
mac071,medication_admin_continuous,med_category,torsemide,torsemide,2.1;3.0,,active,,,,,UNMAPPED,
mac072,medication_admin_continuous,med_category,tpn,tpn,2.1;3.0,,active,,,,,UNMAPPED,
mac073,medication_admin_continuous,med_category,treprostinil,treprostinil,2.1;3.0,,active,,,,,UNMAPPED,
mac074,medication_admin_continuous,med_category,vasopressin,vasopressin,2.1;3.0,,active,,,,,UNMAPPED,
mac075,medication_admin_continuous,med_category,vecuronium,vecuronium,2.1;3.0,,active,,,,,UNMAPPED,
mac076,medication_admin_continuous,med_category,zidovudine,zidovudine,2.1;3.0,,active,,,,,UNMAPPED,
mac077,medication_admin_continuous,med_category,albumin,albumin,2.1,,deprecated,,,,,UNMAPPED,"split in 3.0 -> albumin_5, albumin_25"
mac078,medication_admin_continuous,med_group,vasoactives,vasoactives,2.1;3.0,,active,,,,,UNMAPPED,
mac079,medication_admin_continuous,med_group,sedation,sedation,2.1;3.0,,active,,,,,UNMAPPED,
mac080,medication_admin_continuous,med_group,diuretics,diuretics,2.1;3.0,,active,,,,,UNMAPPED,
mac081,medication_admin_continuous,med_group,anticoagulation,anticoagulation,2.1;3.0,,active,,,,,UNMAPPED,
mac082,medication_admin_continuous,med_group,cardiac,cardiac,2.1;3.0,,active,,,,,UNMAPPED,
mac083,medication_admin_continuous,med_group,paralytics,paralytics,2.1;3.0,,active,,,,,UNMAPPED,
mac084,medication_admin_continuous,med_group,pulmonary_vasodilators_iv,pulmonary vasodilators (IV),2.1;3.0,"{""2.1"":""pulmonary vasodilators (IV)""}",active,,,,,UNMAPPED,
mac085,medication_admin_continuous,med_group,pulmonary_vasodilators_inhaled,pulmonary vasodilators (inhaled),2.1;3.0,"{""2.1"":""pulmonary vasodilators (inhaled)""}",active,,,,,UNMAPPED,
mac086,medication_admin_continuous,med_group,gastrointestinal,gastrointestinal,2.1;3.0,,active,,,,,UNMAPPED,
mac087,medication_admin_continuous,med_group,inhaled,Inhaled,2.1;3.0,"{""2.1"":""Inhaled""}",active,,,,,UNMAPPED,
mac088,medication_admin_continuous,med_group,endocrine,endocrine,2.1;3.0,,active,,,,,UNMAPPED,
mac089,medication_admin_continuous,med_group,fluids_electrolytes,fluids_electrolytes,2.1;3.0,,active,,,,,UNMAPPED,
mac090,medication_admin_continuous,med_group,others,others,2.1;3.0,,active,,,,,UNMAPPED,
mac091,medication_admin_continuous,med_route_category,im,im,2.1;3.0,,active,,,,,UNMAPPED,
mac092,medication_admin_continuous,med_route_category,inhaled,inhaled,2.1;3.0,,active,,,,,UNMAPPED,
mac093,medication_admin_continuous,med_route_category,iv,iv,2.1;3.0,,active,,,,,UNMAPPED,
mac094,medication_admin_continuous,mar_action_category,dose_change,dose_change,2.1;3.0,,active,,,,,UNMAPPED,
mac095,medication_admin_continuous,mar_action_category,going,going,2.1;3.0,,active,,,,,UNMAPPED,
mac096,medication_admin_continuous,mar_action_category,start,start,2.1;3.0,,active,,,,,UNMAPPED,
mac097,medication_admin_continuous,mar_action_category,stop,stop,2.1;3.0,,active,,,,,UNMAPPED,
mac098,medication_admin_continuous,mar_action_category,verify,verify,2.1;3.0,,active,,,,,UNMAPPED,
mac099,medication_admin_continuous,mar_action_category,other,other,2.1;3.0,,active,,,,,UNMAPPED,
mac100,medication_admin_continuous,mar_action_group,administered,administered,2.1;3.0,,active,,,,,UNMAPPED,
mac101,medication_admin_continuous,mar_action_group,not_administered,not_administered,2.1;3.0,,active,,,,,UNMAPPED,
mac102,medication_admin_continuous,mar_action_group,other,other,2.1;3.0,,active,,,,,UNMAPPED,
