id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mai001,medication_admin_intermittent,med_category,acetaminophen,acetaminophen,2.1;3.0,,active,,,,,UNMAPPED,
mai002,medication_admin_intermittent,med_category,acyclovir,acyclovir,2.1;3.0,,active,,,,,UNMAPPED,
mai003,medication_admin_intermittent,med_category,alteplase,alteplase,2.1;3.0,,active,,,,,UNMAPPED,
mai004,medication_admin_intermittent,med_category,amikacin,amikacin,2.1;3.0,,active,,,,,UNMAPPED,
mai005,medication_admin_intermittent,med_category,amoxicillin,amoxicillin,2.1;3.0,,active,,,,,UNMAPPED,
mai006,medication_admin_intermittent,med_category,amoxicillin_clavulanate,amoxicillin_clavulanate,2.1;3.0,,active,,,,,UNMAPPED,
mai007,medication_admin_intermittent,med_category,amphotericin_b,amphotericin_b,2.1;3.0,,active,,,,,UNMAPPED,
mai008,medication_admin_intermittent,med_category,ampicillin,ampicillin,2.1;3.0,,active,,,,,UNMAPPED,
mai009,medication_admin_intermittent,med_category,ampicillin_sulbactam,ampicillin_sulbactam,2.1;3.0,,active,,,,,UNMAPPED,
mai010,medication_admin_intermittent,med_category,anakinra,anakinra,2.1;3.0,,active,,,,,UNMAPPED,
mai011,medication_admin_intermittent,med_category,anidulafungin,anidulafungin,2.1;3.0,,active,,,,,UNMAPPED,
mai012,medication_admin_intermittent,med_category,atracurium,atracurium,2.1;3.0,,active,,,,,UNMAPPED,
mai013,medication_admin_intermittent,med_category,axicabtagene_ciloleucel,axicabtagene_ciloleucel,2.1;3.0,,active,,,,,UNMAPPED,
mai014,medication_admin_intermittent,med_category,azilsartan,Azilsartan,3.0,,active,,,,,UNMAPPED,
mai015,medication_admin_intermittent,med_category,azithromycin,azithromycin,2.1;3.0,,active,,,,,UNMAPPED,
mai016,medication_admin_intermittent,med_category,aztreonam,aztreonam,2.1;3.0,,active,,,,,UNMAPPED,
mai017,medication_admin_intermittent,med_category,baricitinib,Baricitinib,3.0,,active,,,,,UNMAPPED,
mai018,medication_admin_intermittent,med_category,benazepril,Benazepril,3.0,,active,,,,,UNMAPPED,
mai019,medication_admin_intermittent,med_category,benazepril_hctz,Benazepril Hctz,3.0,,active,,,,,UNMAPPED,
mai020,medication_admin_intermittent,med_category,betamethasone,betamethasone,2.1;3.0,,active,,,,,UNMAPPED,
mai021,medication_admin_intermittent,med_category,blinatumomab,Blinatumomab,3.0,,active,,,,,UNMAPPED,
mai022,medication_admin_intermittent,med_category,brexucabtagene_autoleucel,brexucabtagene_autoleucel,2.1;3.0,,active,,,,,UNMAPPED,
mai023,medication_admin_intermittent,med_category,candesartan,Candesartan,3.0,,active,,,,,UNMAPPED,
mai024,medication_admin_intermittent,med_category,candesartan_hctz,Candesartan Hctz,3.0,,active,,,,,UNMAPPED,
mai025,medication_admin_intermittent,med_category,captopril,Captopril,3.0,,active,,,,,UNMAPPED,
mai026,medication_admin_intermittent,med_category,caspofungin,caspofungin,2.1;3.0,,active,,,,,UNMAPPED,
mai027,medication_admin_intermittent,med_category,cefaclor,cefaclor,2.1;3.0,,active,,,,,UNMAPPED,
mai028,medication_admin_intermittent,med_category,cefadroxil,cefadroxil,2.1;3.0,,active,,,,,UNMAPPED,
mai029,medication_admin_intermittent,med_category,cefamandole,cefamandole,2.1;3.0,,active,,,,,UNMAPPED,
mai030,medication_admin_intermittent,med_category,cefazolin,cefazolin,2.1;3.0,,active,,,,,UNMAPPED,
mai031,medication_admin_intermittent,med_category,cefdinir,cefdinir,2.1;3.0,,active,,,,,UNMAPPED,
mai032,medication_admin_intermittent,med_category,cefepime,cefepime,2.1;3.0,,active,,,,,UNMAPPED,
mai033,medication_admin_intermittent,med_category,cefiderocol,cefiderocol,2.1;3.0,,active,,,,,UNMAPPED,
mai034,medication_admin_intermittent,med_category,cefixime,cefixime,2.1;3.0,,active,,,,,UNMAPPED,
mai035,medication_admin_intermittent,med_category,cefmetazole,cefmetazole,2.1;3.0,,active,,,,,UNMAPPED,
mai036,medication_admin_intermittent,med_category,cefonicid,cefonicid,2.1;3.0,,active,,,,,UNMAPPED,
mai037,medication_admin_intermittent,med_category,cefoperazone,cefoperazone,2.1;3.0,,active,,,,,UNMAPPED,
mai038,medication_admin_intermittent,med_category,cefotaxime,cefotaxime,2.1;3.0,,active,,,,,UNMAPPED,
mai039,medication_admin_intermittent,med_category,cefotetan,cefotetan,2.1;3.0,,active,,,,,UNMAPPED,
mai040,medication_admin_intermittent,med_category,cefoxitin,cefoxitin,2.1;3.0,,active,,,,,UNMAPPED,
mai041,medication_admin_intermittent,med_category,cefpodoxime,cefpodoxime,2.1;3.0,,active,,,,,UNMAPPED,
mai042,medication_admin_intermittent,med_category,cefprozil,cefprozil,2.1;3.0,,active,,,,,UNMAPPED,
mai043,medication_admin_intermittent,med_category,ceftaroline,ceftaroline,2.1;3.0,,active,,,,,UNMAPPED,
mai044,medication_admin_intermittent,med_category,ceftazidime,ceftazidime,2.1;3.0,,active,,,,,UNMAPPED,
mai045,medication_admin_intermittent,med_category,ceftazidime_avibactam,ceftazidime_avibactam,2.1;3.0,,active,,,,,UNMAPPED,
