id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
mnc001,microbiology_nonculture,fluid_category,blood_buffy,blood_buffy,2.1;3.0,,active,,,,,UNMAPPED,
mnc002,microbiology_nonculture,fluid_category,bone_cortex,bone_cortex,2.1;3.0,,active,,,,,UNMAPPED,
mnc003,microbiology_nonculture,fluid_category,bone_marrow,bone_marrow,2.1;3.0,,active,,,,,UNMAPPED,
mnc004,microbiology_nonculture,fluid_category,brain,brain,2.1;3.0,,active,,,,,UNMAPPED,
mnc005,microbiology_nonculture,fluid_category,cardiac,cardiac,2.1;3.0,,active,,,,,UNMAPPED,
mnc006,microbiology_nonculture,fluid_category,catheter_tip,catheter_tip,2.1;3.0,,active,,,,,UNMAPPED,
mnc007,microbiology_nonculture,fluid_category,central_nervous_system,central_nervous_system,2.1;3.0,,active,,,,,UNMAPPED,
mnc008,microbiology_nonculture,fluid_category,ears,ears,2.1;3.0,,active,,,,,UNMAPPED,
mnc009,microbiology_nonculture,fluid_category,esophagus,esophagus,2.1;3.0,,active,,,,,UNMAPPED,
mnc010,microbiology_nonculture,fluid_category,eyes,eyes,2.1;3.0,,active,,,,,UNMAPPED,
mnc011,microbiology_nonculture,fluid_category,fallopians_uterus_cervix,fallopians_uterus_cervix,2.1;3.0,,active,,,,,UNMAPPED,
mnc012,microbiology_nonculture,fluid_category,feces_stool,feces_stool,2.1;3.0,,active,,,,,UNMAPPED,
mnc013,microbiology_nonculture,fluid_category,gallbladder_billary_pancreas,gallbladder_billary_pancreas,2.1;3.0,,active,,,,,UNMAPPED,
mnc014,microbiology_nonculture,fluid_category,gastrointestinal_tract,gastrointestinal_tract,2.1;3.0,,active,,,,,UNMAPPED,
mnc015,microbiology_nonculture,fluid_category,genital_area,genital_area,2.1;3.0,,active,,,,,UNMAPPED,
mnc016,microbiology_nonculture,fluid_category,genito_urinary_tract,genito_urinary_tract,2.1;3.0,,active,,,,,UNMAPPED,
mnc017,microbiology_nonculture,fluid_category,joints,joints,2.1;3.0,,active,,,,,UNMAPPED,
mnc018,microbiology_nonculture,fluid_category,kidneys_renal_pelvis_ureters_bladder,kidneys_renal_pelvis_ureters_bladder,2.1;3.0,,active,,,,,UNMAPPED,
mnc019,microbiology_nonculture,fluid_category,large_intestine,large_intestine,2.1;3.0,,active,,,,,UNMAPPED,
mnc020,microbiology_nonculture,fluid_category,larynx,larynx,2.1;3.0,,active,,,,,UNMAPPED,
mnc021,microbiology_nonculture,fluid_category,lips,lips,2.1;3.0,,active,,,,,UNMAPPED,
mnc022,microbiology_nonculture,fluid_category,liver,liver,2.1;3.0,,active,,,,,UNMAPPED,
mnc023,microbiology_nonculture,fluid_category,lymph_nodes,lymph_nodes,2.1;3.0,,active,,,,,UNMAPPED,
mnc024,microbiology_nonculture,fluid_category,meninges_csf,meninges_csf,2.1;3.0,,active,,,,,UNMAPPED,
mnc025,microbiology_nonculture,fluid_category,muscle,muscle,2.1;3.0,,active,,,,,UNMAPPED,
mnc026,microbiology_nonculture,fluid_category,nasopharynx_upperairway,nasopharynx_upperairway,2.1;3.0,,active,,,,,UNMAPPED,
mnc027,microbiology_nonculture,fluid_category,oropharynx_tongue_oralcavity,oropharynx_tongue_oralcavity,2.1;3.0,,active,,,,,UNMAPPED,
mnc028,microbiology_nonculture,fluid_category,other_unspecified,other_unspecified,2.1;3.0,,active,,,,,UNMAPPED,
mnc029,microbiology_nonculture,fluid_category,peritoneum,peritoneum,2.1;3.0,,active,,,,,UNMAPPED,
mnc030,microbiology_nonculture,fluid_category,pleural_cavity_fluid,pleural_cavity_fluid,2.1;3.0,,active,,,,,UNMAPPED,
mnc031,microbiology_nonculture,fluid_category,prostate,prostate,2.1;3.0,,active,,,,,UNMAPPED,
mnc032,microbiology_nonculture,fluid_category,respiratory_tract,respiratory_tract,2.1;3.0,,active,,,,,UNMAPPED,
mnc033,microbiology_nonculture,fluid_category,respiratory_tract_lower,respiratory_tract_lower,2.1;3.0,,active,,,,,UNMAPPED,
mnc034,microbiology_nonculture,fluid_category,sinuses,sinuses,2.1;3.0,,active,,,,,UNMAPPED,
mnc035,microbiology_nonculture,fluid_category,skin_disseminated_multiple_sites,skin_disseminated_multiple_sites,2.1;3.0,,active,,,,,UNMAPPED,
mnc036,microbiology_nonculture,fluid_category,skin_rash_pustules_abscesses,skin_rash_pustules_abscesses,2.1;3.0,,active,,,,,UNMAPPED,
mnc037,microbiology_nonculture,fluid_category,skin_unspecified,skin_unspecified,2.1;3.0,,active,,,,,UNMAPPED,
mnc038,microbiology_nonculture,fluid_category,small_intestine,small_intestine,2.1;3.0,,active,,,,,UNMAPPED,
mnc039,microbiology_nonculture,fluid_category,spinal_cord,spinal_cord,2.1;3.0,,active,,,,,UNMAPPED,
mnc040,microbiology_nonculture,fluid_category,spleen,spleen,2.1;3.0,,active,,,,,UNMAPPED,
mnc041,microbiology_nonculture,fluid_category,stomach,stomach,2.1;3.0,,active,,,,,UNMAPPED,
mnc042,microbiology_nonculture,fluid_category,testes,testes,2.1;3.0,,active,,,,,UNMAPPED,
mnc043,microbiology_nonculture,fluid_category,vagina,vagina,2.1;3.0,,active,,,,,UNMAPPED,
mnc044,microbiology_nonculture,fluid_category,woundsite,woundsite,2.1;3.0,,active,,,,,UNMAPPED,
mnc045,microbiology_nonculture,method_category,pcr,pcr,2.1;3.0,,active,,,,,UNMAPPED,
mnc046,microbiology_nonculture,organism_category,adenovirus,Adenovirus,3.0,,active,,,,,UNMAPPED,
mnc047,microbiology_nonculture,organism_category,bordetella_parapertussis,Bordetella Parapertussis,3.0,,active,,,,,UNMAPPED,
mnc048,microbiology_nonculture,organism_category,bordetella_pertussis,Bordetella Pertussis,3.0,,active,,,,,UNMAPPED,
mnc049,microbiology_nonculture,organism_category,chlamydia_pneumoniae,Chlamydia Pneumoniae,3.0,,active,,,,,UNMAPPED,
mnc050,microbiology_nonculture,organism_category,clostridium_difficile,clostridium_difficile,2.1;3.0,,active,,,,,UNMAPPED,
mnc051,microbiology_nonculture,organism_category,coronavirus_229e,Coronavirus 229E,3.0,,active,,,,,UNMAPPED,
mnc052,microbiology_nonculture,organism_category,coronavirus_hku1,Coronavirus Hku1,3.0,,active,,,,,UNMAPPED,
mnc053,microbiology_nonculture,organism_category,coronavirus_nl63,Coronavirus Nl63,3.0,,active,,,,,UNMAPPED,
mnc054,microbiology_nonculture,organism_category,coronavirus_oc43,Coronavirus Oc43,3.0,,active,,,,,UNMAPPED,
mnc055,microbiology_nonculture,organism_category,human_metapneumovirus,Human Metapneumovirus,3.0,,active,,,,,UNMAPPED,
mnc056,microbiology_nonculture,organism_category,human_rhinovirus_enterovirus,Human Rhinovirus Enterovirus,3.0,,active,,,,,UNMAPPED,
mnc057,microbiology_nonculture,organism_category,influenza_a,Influenza A,3.0,,active,,,,,UNMAPPED,
mnc058,microbiology_nonculture,organism_category,influenza_a_h1,Influenza A H1,3.0,,active,,,,,UNMAPPED,
mnc059,microbiology_nonculture,organism_category,influenza_a_h1_2009,Influenza A H1 2009,3.0,,active,,,,,UNMAPPED,
mnc060,microbiology_nonculture,organism_category,influenza_a_h3,Influenza A H3,3.0,,active,,,,,UNMAPPED,
mnc061,microbiology_nonculture,organism_category,influenza_b,Influenza B,3.0,,active,,,,,UNMAPPED,
mnc062,microbiology_nonculture,organism_category,mycoplasma_pneumoniae,Mycoplasma Pneumoniae,3.0,,active,,,,,UNMAPPED,
mnc063,microbiology_nonculture,organism_category,parainfluenza_1,Parainfluenza 1,3.0,,active,,,,,UNMAPPED,
mnc064,microbiology_nonculture,organism_category,parainfluenza_2,Parainfluenza 2,3.0,,active,,,,,UNMAPPED,
mnc065,microbiology_nonculture,organism_category,parainfluenza_3,Parainfluenza 3,3.0,,active,,,,,UNMAPPED,
mnc066,microbiology_nonculture,organism_category,parainfluenza_4,Parainfluenza 4,3.0,,active,,,,,UNMAPPED,
mnc067,microbiology_nonculture,organism_category,pneumocystis_jirovecii,Pneumocystis Jirovecii,3.0,,active,,,,,UNMAPPED,
mnc068,microbiology_nonculture,organism_category,respiratory_syncytial_virus,respiratory_syncytial_virus,2.1;3.0,,active,,,,,UNMAPPED,
mnc069,microbiology_nonculture,organism_category,sars_cov2,sars_cov2,2.1;3.0,,active,,,,,UNMAPPED,
mnc070,microbiology_nonculture,organism_group,adenovirus,Adenovirus,3.0,,active,,,,,UNMAPPED,
mnc071,microbiology_nonculture,organism_group,bacteria_other,Bacteria Other,3.0,,active,,,,,UNMAPPED,
mnc072,microbiology_nonculture,organism_group,chlamydia,Chlamydia,3.0,,active,,,,,UNMAPPED,
mnc073,microbiology_nonculture,organism_group,clostridium_difficile,clostridium_difficile,2.1;3.0,,active,,,,,UNMAPPED,
mnc074,microbiology_nonculture,organism_group,influenza,Influenza,3.0,,active,,,,,UNMAPPED,
mnc075,microbiology_nonculture,organism_group,mycoplasma,Mycoplasma,3.0,,active,,,,,UNMAPPED,
mnc076,microbiology_nonculture,organism_group,parainfluenza,Parainfluenza,3.0,,active,,,,,UNMAPPED,
mnc077,microbiology_nonculture,organism_group,pneumocystis,Pneumocystis,3.0,,active,,,,,UNMAPPED,
mnc078,microbiology_nonculture,organism_group,respiratory_syncytial_virus,respiratory_syncytial_virus,2.1;3.0,,active,,,,,UNMAPPED,
mnc079,microbiology_nonculture,organism_group,rhinovirus,Rhinovirus,3.0,,active,,,,,UNMAPPED,
mnc080,microbiology_nonculture,organism_group,viral_other,viral_other,2.1;3.0,,active,,,,,UNMAPPED,
mnc081,microbiology_nonculture,result_category,detected,detected,2.1;3.0,,active,,,,,UNMAPPED,
mnc082,microbiology_nonculture,result_category,not_detected,not_detected,2.1;3.0,,active,,,,,UNMAPPED,
mnc083,microbiology_nonculture,result_category,indeterminate,indeterminate,2.1;3.0,,active,,,,,UNMAPPED,
