id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
msu001,microbiology_susceptibility,antimicrobial_category,actinomycin_d,actinomycin_d,2.1;3.0,,active,,,,,UNMAPPED,
msu002,microbiology_susceptibility,antimicrobial_category,acyclovir,acyclovir,2.1;3.0,,active,,,,,UNMAPPED,
msu003,microbiology_susceptibility,antimicrobial_category,amikacin,amikacin,2.1;3.0,,active,,,,,UNMAPPED,
msu004,microbiology_susceptibility,antimicrobial_category,amoxicillin,amoxicillin,2.1;3.0,,active,,,,,UNMAPPED,
msu005,microbiology_susceptibility,antimicrobial_category,amoxicillin_clavulanate,amoxicillin_clavulanate,2.1;3.0,,active,,,,,UNMAPPED,
msu006,microbiology_susceptibility,antimicrobial_category,amphotericin_b,amphotericin_b,2.1;3.0,,active,,,,,UNMAPPED,
msu007,microbiology_susceptibility,antimicrobial_category,ampicillin,ampicillin,2.1;3.0,,active,,,,,UNMAPPED,
msu008,microbiology_susceptibility,antimicrobial_category,ampicillin_sulbactam,ampicillin_sulbactam,2.1;3.0,,active,,,,,UNMAPPED,
msu009,microbiology_susceptibility,antimicrobial_category,anidulafungin,anidulafungin,2.1;3.0,,active,,,,,UNMAPPED,
msu010,microbiology_susceptibility,antimicrobial_category,azithromycin,azithromycin,2.1;3.0,,active,,,,,UNMAPPED,
msu011,microbiology_susceptibility,antimicrobial_category,aztreonam,aztreonam,2.1;3.0,,active,,,,,UNMAPPED,
msu012,microbiology_susceptibility,antimicrobial_category,baloxavir_marboxil,baloxavir_marboxil,2.1;3.0,,active,,,,,UNMAPPED,
msu013,microbiology_susceptibility,antimicrobial_category,bedaquiline,bedaquiline,2.1;3.0,,active,,,,,UNMAPPED,
msu014,microbiology_susceptibility,antimicrobial_category,beta_lactams,beta_lactams,2.1;3.0,,active,,,,,UNMAPPED,
msu015,microbiology_susceptibility,antimicrobial_category,capreomycin,capreomycin,2.1;3.0,,active,,,,,UNMAPPED,
msu016,microbiology_susceptibility,antimicrobial_category,caspofungin,caspofungin,2.1;3.0,,active,,,,,UNMAPPED,
msu017,microbiology_susceptibility,antimicrobial_category,cefaclor,cefaclor,2.1;3.0,,active,,,,,UNMAPPED,
msu018,microbiology_susceptibility,antimicrobial_category,cefadroxil,cefadroxil,2.1;3.0,,active,,,,,UNMAPPED,
msu019,microbiology_susceptibility,antimicrobial_category,cefamandole,cefamandole,2.1;3.0,,active,,,,,UNMAPPED,
msu020,microbiology_susceptibility,antimicrobial_category,cefazolin,cefazolin,2.1;3.0,,active,,,,,UNMAPPED,
msu021,microbiology_susceptibility,antimicrobial_category,cefdinir,cefdinir,2.1;3.0,,active,,,,,UNMAPPED,
