id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
out001,output,output_category,biliary_drain,Biliary Drain,3.0,,active,,,,,UNMAPPED,
out002,output,output_category,blood_loss,Blood Loss,3.0,,active,,,,,UNMAPPED,
out003,output,output_category,chest_tube_durable,Chest Tube Durable,3.0,,active,,,,,UNMAPPED,
out004,output,output_category,chest_tube_temporary,Chest Tube Temporary,3.0,,active,,,,,UNMAPPED,
out005,output,output_category,colostomy,Colostomy,3.0,,active,,,,,UNMAPPED,
out006,output,output_category,emesis,Emesis,3.0,,active,,,,,UNMAPPED,
out007,output,output_category,external_urinary_catheter,External Urinary Catheter,3.0,,active,,,,,UNMAPPED,
out008,output,output_category,gastrojejunostomy,Gastrojejunostomy,3.0,,active,,,,,UNMAPPED,
out009,output,output_category,gastrostomy,Gastrostomy,3.0,,active,,,,,UNMAPPED,
out010,output,output_category,gi_output_other,Gi Output Other,3.0,,active,,,,,UNMAPPED,
out011,output,output_category,ileostomy,Ileostomy,3.0,,active,,,,,UNMAPPED,
out012,output,output_category,indwelling_urinary_catheter,Indwelling Urinary Catheter,3.0,,active,,,,,UNMAPPED,
out013,output,output_category,jejunostomy,Jejunostomy,3.0,,active,,,,,UNMAPPED,
out014,output,output_category,nephrostomy,Nephrostomy,3.0,,active,,,,,UNMAPPED,
out015,output,output_category,orogastric_nasogastric_tube,Orogastric Nasogastric Tube,3.0,,active,,,,,UNMAPPED,
out016,output,output_category,orogjejunal_nasojejunal_tube,Orogjejunal Nasojejunal Tube,3.0,,active,,,,,UNMAPPED,
out017,output,output_category,other,Other,3.0,,active,,,,,UNMAPPED,
out018,output,output_category,other_procedure,Other Procedure,3.0,,active,,,,,UNMAPPED,
out019,output,output_category,ostomy_gi_other,Ostomy Gi Other,3.0,,active,,,,,UNMAPPED,
out020,output,output_category,paracentesis,Paracentesis,3.0,,active,,,,,UNMAPPED,
out021,output,output_category,pericardial_drain,Pericardial Drain,3.0,,active,,,,,UNMAPPED,
out022,output,output_category,peritoneal_drain,Peritoneal Drain,3.0,,active,,,,,UNMAPPED,
out023,output,output_category,procedural_drain_other,Procedural Drain Other,3.0,,active,,,,,UNMAPPED,
out024,output,output_category,rectal_tube,Rectal Tube,3.0,,active,,,,,UNMAPPED,
out025,output,output_category,respiratory,Respiratory,3.0,,active,,,,,UNMAPPED,
out026,output,output_category,stool,Stool,3.0,,active,,,,,UNMAPPED,
out027,output,output_category,suprapubic_catheter,Suprapubic Catheter,3.0,,active,,,,,UNMAPPED,
out028,output,output_category,thoracentesis,Thoracentesis,3.0,,active,,,,,UNMAPPED,
out029,output,output_category,ultrafiltration,Ultrafiltration,3.0,,active,,,,,UNMAPPED,
out030,output,output_category,urethral,Urethral,3.0,,active,,,,,UNMAPPED,
out031,output,output_category,urostomy,Urostomy,3.0,,active,,,,,UNMAPPED,
out032,output,output_category,urinary_other,Urinary Other,3.0,,active,,,,,UNMAPPED,
out033,output,output_category,wound_drain,Wound Drain,3.0,,active,,,,,UNMAPPED,
out034,output,output_group,blood_loss,Blood Loss,3.0,,active,,,,,UNMAPPED,
out035,output,output_group,drains,Drains,3.0,,active,,,,,UNMAPPED,
out036,output,output_group,gi,Gi,3.0,,active,,,,,UNMAPPED,
out037,output,output_group,other,Other,3.0,,active,,,,,UNMAPPED,
out038,output,output_group,procedure,Procedure,3.0,,active,,,,,UNMAPPED,
out039,output,output_group,respiratory,Respiratory,3.0,,active,,,,,UNMAPPED,
out040,output,output_group,ultrafiltration,Ultrafiltration,3.0,,active,,,,,UNMAPPED,
out041,output,output_group,urine,Urine,3.0,,active,,,,,UNMAPPED,
