id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
pat001,patient,race_category,black_or_african_american,Black or African American,2.1;3.0,"{""2.1"":""Black or African American""}",active,,,,,UNMAPPED,
pat002,patient,race_category,white,White,2.1;3.0,"{""2.1"":""White""}",active,,,,,UNMAPPED,
pat003,patient,race_category,american_indian_or_alaska_native,American Indian or Alaska Native,2.1;3.0,"{""2.1"":""American Indian or Alaska Native""}",active,,,,,UNMAPPED,
pat004,patient,race_category,asian,Asian,2.1;3.0,"{""2.1"":""Asian""}",active,,,,,UNMAPPED,
pat005,patient,race_category,native_hawaiian_or_other_pacific_islander,Native Hawaiian or Other Pacific Islander,2.1;3.0,"{""2.1"":""Native Hawaiian or Other Pacific Islander""}",active,,,,,UNMAPPED,
pat006,patient,race_category,middle_eastern_or_north_african,Middle Eastern Or North African,3.0,,active,,,,,UNMAPPED,
pat007,patient,race_category,unknown,Unknown,2.1;3.0,"{""2.1"":""Unknown""}",active,,,,,UNMAPPED,
pat008,patient,race_category,other,Other,2.1;3.0,"{""2.1"":""Other""}",active,,,,,UNMAPPED,
pat009,patient,ethnicity_category,hispanic,Hispanic,2.1;3.0,"{""2.1"":""Hispanic""}",active,,,,,UNMAPPED,
pat010,patient,ethnicity_category,non_hispanic,Non-Hispanic,2.1;3.0,"{""2.1"":""Non-Hispanic""}",active,,,,,UNMAPPED,
pat011,patient,ethnicity_category,unknown,Unknown,2.1;3.0,"{""2.1"":""Unknown""}",active,,,,,UNMAPPED,
pat012,patient,sex_category,male,Male,2.1;3.0,"{""2.1"":""Male""}",active,,,,,UNMAPPED,
pat013,patient,sex_category,female,Female,2.1;3.0,"{""2.1"":""Female""}",active,,,,,UNMAPPED,
pat014,patient,sex_category,unknown,Unknown,2.1;3.0,"{""2.1"":""Unknown""}",active,,,,,UNMAPPED,
pat015,patient,language_category,english,English,2.1;3.0,"{""2.1"":""English""}",active,,,,,UNMAPPED,
pat016,patient,language_category,spanish,Spanish,2.1;3.0,"{""2.1"":""Spanish""}",active,,,,,UNMAPPED,
pat017,patient,language_category,french,French,2.1;3.0,"{""2.1"":""French""}",active,,,,,UNMAPPED,
pat018,patient,language_category,haitian_creole,Haitian Creole,2.1;3.0,"{""2.1"":""Haitian Creole""}",active,,,,,UNMAPPED,
pat019,patient,language_category,italian,Italian,2.1;3.0,"{""2.1"":""Italian""}",active,,,,,UNMAPPED,
pat020,patient,language_category,portuguese,Portuguese,2.1;3.0,"{""2.1"":""Portuguese""}",active,,,,,UNMAPPED,
pat021,patient,language_category,german,German,2.1;3.0,"{""2.1"":""German""}",active,,,,,UNMAPPED,
pat022,patient,language_category,yiddish_pennsylvania_dutch_or_other_west_germanic_languages,"Yiddish, Pennsylvania Dutch, or other West Germanic Languages",2.1;3.0,"{""2.1"":""Yiddish, Pennsylvania Dutch, or other West Germanic Languages""}",active,,,,,UNMAPPED,
pat023,patient,language_category,greek,Greek,2.1;3.0,"{""2.1"":""Greek""}",active,,,,,UNMAPPED,
pat024,patient,language_category,russian,Russian,2.1;3.0,"{""2.1"":""Russian""}",active,,,,,UNMAPPED,
pat025,patient,language_category,polish,Polish,2.1;3.0,"{""2.1"":""Polish""}",active,,,,,UNMAPPED,
pat026,patient,language_category,serbo_croatian,Serbo-Croatian,2.1;3.0,"{""2.1"":""Serbo-Croatian""}",active,,,,,UNMAPPED,
pat027,patient,language_category,ukrainian_or_other_slavic_languages,Ukrainian or other Slavic languages,2.1;3.0,"{""2.1"":""Ukrainian or other Slavic languages""}",active,,,,,UNMAPPED,
pat028,patient,language_category,armenian,Armenian,2.1;3.0,"{""2.1"":""Armenian""}",active,,,,,UNMAPPED,
pat029,patient,language_category,persian,Persian,2.1;3.0,"{""2.1"":""Persian""}",active,,,,,UNMAPPED,
pat030,patient,language_category,gujarati,Gujarati,2.1;3.0,"{""2.1"":""Gujarati""}",active,,,,,UNMAPPED,
pat031,patient,language_category,hindi,Hindi,2.1;3.0,"{""2.1"":""Hindi""}",active,,,,,UNMAPPED,
pat032,patient,language_category,urdu,Urdu,2.1;3.0,"{""2.1"":""Urdu""}",active,,,,,UNMAPPED,
pat033,patient,language_category,punjabi,Punjabi,2.1;3.0,"{""2.1"":""Punjabi""}",active,,,,,UNMAPPED,
pat034,patient,language_category,bengali,Bengali,2.1;3.0,"{""2.1"":""Bengali""}",active,,,,,UNMAPPED,
pat035,patient,language_category,nepali_marathi_or_other_indic_languages,"Nepali, Marathi, or other Indic languages",2.1;3.0,"{""2.1"":""Nepali, Marathi, or other Indic languages""}",active,,,,,UNMAPPED,
pat036,patient,language_category,other_european_indo_european_languages,Other European Indo-European languages,2.1;3.0,"{""2.1"":""Other European Indo-European languages""}",active,,,,,UNMAPPED,
pat037,patient,language_category,other_asian_indo_european_languages,Other Asian Indo-European languages,2.1;3.0,"{""2.1"":""Other Asian Indo-European languages""}",active,,,,,UNMAPPED,
pat038,patient,language_category,telugu,Telugu,2.1;3.0,"{""2.1"":""Telugu""}",active,,,,,UNMAPPED,
pat039,patient,language_category,tamil,Tamil,2.1;3.0,"{""2.1"":""Tamil""}",active,,,,,UNMAPPED,
pat040,patient,language_category,malayalam_kannada_or_other_dravidian_languages,"Malayalam, Kannada, or other Dravidian languages",2.1;3.0,"{""2.1"":""Malayalam, Kannada, or other Dravidian languages""}",active,,,,,UNMAPPED,
pat041,patient,language_category,chinese,Chinese,2.1;3.0,"{""2.1"":""Chinese""}",active,,,,,UNMAPPED,
pat042,patient,language_category,japanese,Japanese,2.1;3.0,"{""2.1"":""Japanese""}",active,,,,,UNMAPPED,
pat043,patient,language_category,korean,Korean,2.1;3.0,"{""2.1"":""Korean""}",active,,,,,UNMAPPED,
pat044,patient,language_category,vietnamese,Vietnamese,2.1;3.0,"{""2.1"":""Vietnamese""}",active,,,,,UNMAPPED,
pat045,patient,language_category,khmer,Khmer,2.1;3.0,"{""2.1"":""Khmer""}",active,,,,,UNMAPPED,
pat046,patient,language_category,thai_lao_or_other_tai_kadai_languages,"Thai, Lao, or other Tai-Kadai languages",2.1;3.0,"{""2.1"":""Thai, Lao, or other Tai-Kadai languages""}",active,,,,,UNMAPPED,
pat047,patient,language_category,other_languages_of_asia,Other languages of Asia,2.1;3.0,"{""2.1"":""Other languages of Asia""}",active,,,,,UNMAPPED,
pat048,patient,language_category,tagalog,Tagalog,2.1;3.0,"{""2.1"":""Tagalog""}",active,,,,,UNMAPPED,
pat049,patient,language_category,ilocano_samoan_hawaiian_or_other_austronesian_languages,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",2.1;3.0,"{""2.1"":""Ilocano, Samoan, Hawaiian, or other Austronesian languages""}",active,,,,,UNMAPPED,
pat050,patient,language_category,arabic,Arabic,2.1;3.0,"{""2.1"":""Arabic""}",active,,,,,UNMAPPED,
pat051,patient,language_category,hebrew,Hebrew,2.1;3.0,"{""2.1"":""Hebrew""}",active,,,,,UNMAPPED,
pat052,patient,language_category,amharic_somali_or_other_afro_asiatic_languages,"Amharic, Somali, or other Afro-Asiatic languages",2.1;3.0,"{""2.1"":""Amharic, Somali, or other Afro-Asiatic languages""}",active,,,,,UNMAPPED,
pat053,patient,language_category,yoruba_twi_igbo_or_other_languages_of_western_africa,"Yoruba, Twi, Igbo, or other languages of Western Africa",2.1;3.0,"{""2.1"":""Yoruba, Twi, Igbo, or other languages of Western Africa""}",active,,,,,UNMAPPED,
pat054,patient,language_category,swahili_or_other_languages_of_central_eastern_and_southern_africa,"Swahili or other languages of Central, Eastern, and Southern Africa",2.1;3.0,"{""2.1"":""Swahili or other languages of Central, Eastern, and Southern Africa""}",active,,,,,UNMAPPED,
pat055,patient,language_category,navajo,Navajo,2.1;3.0,"{""2.1"":""Navajo""}",active,,,,,UNMAPPED,
pat056,patient,language_category,other_native_languages_of_north_america,Other Native languages of North America,2.1;3.0,"{""2.1"":""Other Native languages of North America""}",active,,,,,UNMAPPED,
pat057,patient,language_category,other_and_unspecified_languages,Other and unspecified languages,2.1;3.0,"{""2.1"":""Other and unspecified languages""}",active,,,,,UNMAPPED,
pat058,patient,language_category,sign_language,Sign Language,2.1;3.0,"{""2.1"":""Sign Language""}",active,,,,,UNMAPPED,
pat059,patient,language_category,unknown,Unknown or NA,2.1;3.0,"{""2.1"":""Unknown or NA""}",active,,,,,UNMAPPED,renamed 2.1 'Unknown or NA' -> 3.0 'unknown'
