id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
pas001,patient_assessments,assessment_category,am_pac,AM-PAC,2.1;3.0,"{""2.1"":""AM-PAC""}",active,,,,,UNMAPPED,
pas002,patient_assessments,assessment_category,ams,AMS,2.1;3.0,"{""2.1"":""AMS""}",active,,,,,UNMAPPED,
pas003,patient_assessments,assessment_category,apgar,APGAR,2.1;3.0,"{""2.1"":""APGAR""}",active,,,,,UNMAPPED,
pas004,patient_assessments,assessment_category,avpu,AVPU,2.1;3.0,"{""2.1"":""AVPU""}",active,,,,,UNMAPPED,
pas005,patient_assessments,assessment_category,bps,BPS,2.1;3.0,"{""2.1"":""BPS""}",active,,,,,UNMAPPED,
pas006,patient_assessments,assessment_category,braden_activity,braden_activity,2.1;3.0,,active,,,,,UNMAPPED,
pas007,patient_assessments,assessment_category,braden_friction,braden_friction,2.1;3.0,,active,,,,,UNMAPPED,
pas008,patient_assessments,assessment_category,braden_mobility,braden_mobility,2.1;3.0,,active,,,,,UNMAPPED,
pas009,patient_assessments,assessment_category,braden_moisture,braden_moisture,2.1;3.0,,active,,,,,UNMAPPED,
pas010,patient_assessments,assessment_category,braden_nutrition,braden_nutrition,2.1;3.0,,active,,,,,UNMAPPED,
pas011,patient_assessments,assessment_category,braden_sensory,braden_sensory,2.1;3.0,,active,,,,,UNMAPPED,
pas012,patient_assessments,assessment_category,braden_total,braden_total,2.1;3.0,,active,,,,,UNMAPPED,
pas013,patient_assessments,assessment_category,cam_inattention,cam_inattention,2.1;3.0,,active,,,,,UNMAPPED,
pas014,patient_assessments,assessment_category,cam_loc,cam_loc,2.1;3.0,,active,,,,,UNMAPPED,
pas015,patient_assessments,assessment_category,cam_mental,cam_mental,2.1;3.0,,active,,,,,UNMAPPED,
pas016,patient_assessments,assessment_category,cam_thinking,cam_thinking,2.1;3.0,,active,,,,,UNMAPPED,
pas017,patient_assessments,assessment_category,cam_total,cam_total,2.1;3.0,,active,,,,,UNMAPPED,
pas018,patient_assessments,assessment_category,ciwa,CIWA,2.1;3.0,"{""2.1"":""CIWA""}",active,,,,,UNMAPPED,
pas019,patient_assessments,assessment_category,cows,COWS,2.1;3.0,"{""2.1"":""COWS""}",active,,,,,UNMAPPED,
pas020,patient_assessments,assessment_category,cpot_body,cpot_body,2.1;3.0,,active,,,,,UNMAPPED,
pas021,patient_assessments,assessment_category,cpot_facial,cpot_facial,2.1;3.0,,active,,,,,UNMAPPED,
pas022,patient_assessments,assessment_category,cpot_intubated,Cpot Intubated,3.0,,active,,,,,UNMAPPED,
pas023,patient_assessments,assessment_category,cpot_muscle,cpot_muscle,2.1;3.0,,active,,,,,UNMAPPED,
pas024,patient_assessments,assessment_category,cpot_total,cpot_total,2.1;3.0,,active,,,,,UNMAPPED,
pas025,patient_assessments,assessment_category,cpot_vocalization,cpot_vocalization,2.1;3.0,,active,,,,,UNMAPPED,
pas026,patient_assessments,assessment_category,dvprs,DVPRS,2.1;3.0,"{""2.1"":""DVPRS""}",active,,,,,UNMAPPED,
pas027,patient_assessments,assessment_category,gcs_eye,gcs_eye,2.1;3.0,,active,,,,,UNMAPPED,
pas028,patient_assessments,assessment_category,gcs_motor,gcs_motor,2.1;3.0,,active,,,,,UNMAPPED,
pas029,patient_assessments,assessment_category,gcs_total,gcs_total,2.1;3.0,,active,,,,,UNMAPPED,
pas030,patient_assessments,assessment_category,gcs_verbal,gcs_verbal,2.1;3.0,,active,,,,,UNMAPPED,
pas031,patient_assessments,assessment_category,icans,ICANS,2.1;3.0,"{""2.1"":""ICANS""}",active,,,,,UNMAPPED,
pas032,patient_assessments,assessment_category,icsdc,ICSDC,2.1;3.0,"{""2.1"":""ICSDC""}",active,,,,,UNMAPPED,
pas033,patient_assessments,assessment_category,icsdc_agitation,icsdc_agitation,2.1;3.0,,active,,,,,UNMAPPED,
pas034,patient_assessments,assessment_category,icsdc_disorientation,icsdc_disorientation,2.1;3.0,,active,,,,,UNMAPPED,
pas035,patient_assessments,assessment_category,icsdc_hallucination,icsdc_hallucination,2.1;3.0,,active,,,,,UNMAPPED,
pas036,patient_assessments,assessment_category,icsdc_inattention,icsdc_inattention,2.1;3.0,,active,,,,,UNMAPPED,
pas037,patient_assessments,assessment_category,icsdc_loc,icsdc_loc,2.1;3.0,,active,,,,,UNMAPPED,
pas038,patient_assessments,assessment_category,icsdc_sleep,icsdc_sleep,2.1;3.0,,active,,,,,UNMAPPED,
pas039,patient_assessments,assessment_category,icsdc_speech,icsdc_speech,2.1;3.0,,active,,,,,UNMAPPED,
pas040,patient_assessments,assessment_category,icsdc_symptoms,icsdc_symptoms,2.1;3.0,,active,,,,,UNMAPPED,
pas041,patient_assessments,assessment_category,icsdc_total,icsdc_total,2.1;3.0,,active,,,,,UNMAPPED,
pas042,patient_assessments,assessment_category,ims,IMS,2.1;3.0,"{""2.1"":""IMS""}",active,,,,,UNMAPPED,
pas043,patient_assessments,assessment_category,minds,MINDS,2.1;3.0,"{""2.1"":""MINDS""}",active,,,,,UNMAPPED,
pas044,patient_assessments,assessment_category,morse_fall_scale,Morse Fall Scale,2.1;3.0,"{""2.1"":""Morse Fall Scale""}",active,,,,,UNMAPPED,
pas045,patient_assessments,assessment_category,npi_l,Npi L,3.0,,active,,,,,UNMAPPED,
pas046,patient_assessments,assessment_category,npi_r,Npi R,3.0,,active,,,,,UNMAPPED,
pas047,patient_assessments,assessment_category,nrs,NRS,2.1;3.0,"{""2.1"":""NRS""}",active,,,,,UNMAPPED,
pas048,patient_assessments,assessment_category,nvps,NVPS,2.1;3.0,"{""2.1"":""NVPS""}",active,,,,,UNMAPPED,
pas049,patient_assessments,assessment_category,painad,PAINAD,2.1;3.0,"{""2.1"":""PAINAD""}",active,,,,,UNMAPPED,
pas050,patient_assessments,assessment_category,pupil_reactive_l,Pupil Reactive L,3.0,,active,,,,,UNMAPPED,
pas051,patient_assessments,assessment_category,pupil_reactive_r,Pupil Reactive R,3.0,,active,,,,,UNMAPPED,
pas052,patient_assessments,assessment_category,pupil_size_l,Pupil Size L,3.0,,active,,,,,UNMAPPED,
pas053,patient_assessments,assessment_category,pupil_size_r,Pupil Size R,3.0,,active,,,,,UNMAPPED,
pas054,patient_assessments,assessment_category,rass,RASS,2.1;3.0,"{""2.1"":""RASS""}",active,,,,,UNMAPPED,
pas055,patient_assessments,assessment_category,sas,SAS,2.1;3.0,"{""2.1"":""SAS""}",active,,,,,UNMAPPED,
pas056,patient_assessments,assessment_category,sat_delivery_pass_fail,sat_delivery_pass_fail,2.1;3.0,,active,,,,,UNMAPPED,
pas057,patient_assessments,assessment_category,sat_delivery_performed,sat_delivery_performed,2.1;3.0,,active,,,,,UNMAPPED,
pas058,patient_assessments,assessment_category,sat_escalating_sedation,sat_escalating_sedation,2.1;3.0,,active,,,,,UNMAPPED,
pas059,patient_assessments,assessment_category,sat_intracranial_pressure,sat_intracranial_pressure,2.1;3.0,,active,,,,,UNMAPPED,
pas060,patient_assessments,assessment_category,sat_myocardial_ischemia,sat_myocardial_ischemia,2.1;3.0,,active,,,,,UNMAPPED,
pas061,patient_assessments,assessment_category,sat_neuromuscular_blockers,sat_neuromuscular_blockers,2.1;3.0,,active,,,,,UNMAPPED,
pas062,patient_assessments,assessment_category,sat_screen_pass_fail,sat_screen_pass_fail,2.1;3.0,,active,,,,,UNMAPPED,
pas063,patient_assessments,assessment_category,sat_screen_performed,sat_screen_performed,2.1;3.0,,active,,,,,UNMAPPED,
pas064,patient_assessments,assessment_category,sat_sedative_infusion,sat_sedative_infusion,2.1;3.0,,active,,,,,UNMAPPED,
pas065,patient_assessments,assessment_category,sbt_agitation,sbt_agitation,2.1;3.0,,active,,,,,UNMAPPED,
pas066,patient_assessments,assessment_category,sbt_delivery_pass_fail,sbt_delivery_pass_fail,2.1;3.0,,active,,,,,UNMAPPED,
pas067,patient_assessments,assessment_category,sbt_delivery_performed,sbt_delivery_performed,2.1;3.0,,active,,,,,UNMAPPED,
pas068,patient_assessments,assessment_category,sbt_fail_reason,sbt_fail_reason,2.1;3.0,,active,,,,,UNMAPPED,
pas069,patient_assessments,assessment_category,sbt_inadequate_oxygenation,sbt_inadequate_oxygenation,2.1;3.0,,active,,,,,UNMAPPED,
pas070,patient_assessments,assessment_category,sbt_intracranial_pressure,sbt_intracranial_pressure,2.1;3.0,,active,,,,,UNMAPPED,
pas071,patient_assessments,assessment_category,sbt_no_spontaneous_effort,sbt_no_spontaneous_effort,2.1;3.0,,active,,,,,UNMAPPED,
pas072,patient_assessments,assessment_category,sbt_screen_pass_fail,sbt_screen_pass_fail,2.1;3.0,,active,,,,,UNMAPPED,
pas073,patient_assessments,assessment_category,sbt_screen_performed,sbt_screen_performed,2.1;3.0,,active,,,,,UNMAPPED,
pas074,patient_assessments,assessment_category,sbt_vasopressor_use,sbt_vasopressor_use,2.1;3.0,,active,,,,,UNMAPPED,
pas075,patient_assessments,assessment_category,tof,TOF,2.1;3.0,"{""2.1"":""TOF""}",active,,,,,UNMAPPED,
pas076,patient_assessments,assessment_category,vas,VAS,2.1;3.0,"{""2.1"":""VAS""}",active,,,,,UNMAPPED,
pas077,patient_assessments,assessment_category,wat,WAT,2.1;3.0,"{""2.1"":""WAT""}",active,,,,,UNMAPPED,
pas078,patient_assessments,assessment_group,delirium,Delirium,2.1;3.0,"{""2.1"":""Delirium""}",active,,,,,UNMAPPED,
pas079,patient_assessments,assessment_group,mobility_or_activity,Mobility/Activity,2.1;3.0,"{""2.1"":""Mobility/Activity""}",active,,,,,UNMAPPED,
pas080,patient_assessments,assessment_group,neurological,Neurological,2.1;3.0,"{""2.1"":""Neurological""}",active,,,,,UNMAPPED,
pas081,patient_assessments,assessment_group,nursing_risk,Nursing Risk,2.1;3.0,"{""2.1"":""Nursing Risk""}",active,,,,,UNMAPPED,
pas082,patient_assessments,assessment_group,pain,Pain,2.1;3.0,"{""2.1"":""Pain""}",active,,,,,UNMAPPED,
pas083,patient_assessments,assessment_group,sat_delivery,SAT Delivery,2.1;3.0,"{""2.1"":""SAT Delivery""}",active,,,,,UNMAPPED,
pas084,patient_assessments,assessment_group,sat_delivery_pass_or_fail,SAT Delivery Pass/Fail,2.1;3.0,"{""2.1"":""SAT Delivery Pass/Fail""}",active,,,,,UNMAPPED,
pas085,patient_assessments,assessment_group,sat_screen,SAT Screen,2.1;3.0,"{""2.1"":""SAT Screen""}",active,,,,,UNMAPPED,
pas086,patient_assessments,assessment_group,sat_screen_pass_or_fail,SAT Screen Pass/Fail,2.1;3.0,"{""2.1"":""SAT Screen Pass/Fail""}",active,,,,,UNMAPPED,
pas087,patient_assessments,assessment_group,sbt_delivery,SBT Delivery,2.1;3.0,"{""2.1"":""SBT Delivery""}",active,,,,,UNMAPPED,
pas088,patient_assessments,assessment_group,sbt_delivery_pass_or_fail,SBT Delivery Pass/Fail,2.1;3.0,"{""2.1"":""SBT Delivery Pass/Fail""}",active,,,,,UNMAPPED,
pas089,patient_assessments,assessment_group,sbt_failure_reason,SBT Failure Reason,2.1;3.0,"{""2.1"":""SBT Failure Reason""}",active,,,,,UNMAPPED,
pas090,patient_assessments,assessment_group,sbt_screen,SBT Screen,2.1;3.0,"{""2.1"":""SBT Screen""}",active,,,,,UNMAPPED,
pas091,patient_assessments,assessment_group,sbt_screen_pass_or_fail,SBT Screen Pass/Fail,2.1;3.0,"{""2.1"":""SBT Screen Pass/Fail""}",active,,,,,UNMAPPED,
pas092,patient_assessments,assessment_group,sedation_or_agitation,Sedation/Agitation,2.1;3.0,"{""2.1"":""Sedation/Agitation""}",active,,,,,UNMAPPED,
pas093,patient_assessments,assessment_group,spontaneous_awakening_trial_sat,Spontaneous Awakening Trial (SAT),2.1;3.0,"{""2.1"":""Spontaneous Awakening Trial (SAT)""}",active,,,,,UNMAPPED,
pas094,patient_assessments,assessment_group,spontaneous_breathing_trial_sbt,Spontaneous Breathing Trial (SBT),2.1;3.0,"{""2.1"":""Spontaneous Breathing Trial (SBT)""}",active,,,,,UNMAPPED,
pas095,patient_assessments,assessment_group,withdrawal,Withdrawal,2.1;3.0,"{""2.1"":""Withdrawal""}",active,,,,,UNMAPPED,
