id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
att001,patient_attributes,attribute_category,alcohol_use,Alcohol Use,3.0,,active,,,,,UNMAPPED,
att002,patient_attributes,attribute_category,employment_status,Employment Status,3.0,,active,,,,,UNMAPPED,
att003,patient_attributes,attribute_category,financial_strain,Financial Strain,3.0,,active,,,,,UNMAPPED,
att004,patient_attributes,attribute_category,food_insecurity,Food Insecurity,3.0,,active,,,,,UNMAPPED,
att005,patient_attributes,attribute_category,functional_status,Functional Status,3.0,,active,,,,,UNMAPPED,
att006,patient_attributes,attribute_category,housing_status,Housing Status,3.0,,active,,,,,UNMAPPED,
att007,patient_attributes,attribute_category,interpersonal_safety,Interpersonal Safety,3.0,,active,,,,,UNMAPPED,
att008,patient_attributes,attribute_category,marital_status,Marital Status,3.0,,active,,,,,UNMAPPED,
att009,patient_attributes,attribute_category,organ_donor,Organ Donor,3.0,,active,,,,,UNMAPPED,
att010,patient_attributes,attribute_category,pregnancy_status,Pregnancy Status,3.0,,active,,,,,UNMAPPED,
att011,patient_attributes,attribute_category,smoking_status,Smoking Status,3.0,,active,,,,,UNMAPPED,
att012,patient_attributes,attribute_category,social_isolation,Social Isolation,3.0,,active,,,,,UNMAPPED,
att013,patient_attributes,attribute_category,substance_use,Substance Use,3.0,,active,,,,,UNMAPPED,
att014,patient_attributes,attribute_category,transportation_barrier,Transportation Barrier,3.0,,active,,,,,UNMAPPED,
att015,patient_attributes,attribute_category,utility_insecurity,Utility Insecurity,3.0,,active,,,,,UNMAPPED,
att016,patient_attributes,attribute_group,care_preferences,Care Preferences,3.0,,active,,,,,UNMAPPED,
att017,patient_attributes,attribute_group,functional,Functional,3.0,,active,,,,,UNMAPPED,
att018,patient_attributes,attribute_group,health_related_social_needs,Health Related Social Needs,3.0,,active,,,,,UNMAPPED,
att019,patient_attributes,attribute_group,reproductive,Reproductive,3.0,,active,,,,,UNMAPPED,
att020,patient_attributes,attribute_group,sociodemographic,Sociodemographic,3.0,,active,,,,,UNMAPPED,
att021,patient_attributes,attribute_group,substance_use_behavior,Substance Use Behavior,3.0,,active,,,,,UNMAPPED,
att022,patient_attributes,attribute_value_category,active,Active,3.0,,active,,,,,UNMAPPED,
att023,patient_attributes,attribute_value_category,connected,Connected,3.0,,active,,,,,UNMAPPED,
att024,patient_attributes,attribute_value_category,current,Current,3.0,,active,,,,,UNMAPPED,
att025,patient_attributes,attribute_value_category,disabled,Disabled,3.0,,active,,,,,UNMAPPED,
att026,patient_attributes,attribute_value_category,divorced,Divorced,3.0,,active,,,,,UNMAPPED,
att027,patient_attributes,attribute_value_category,former,Former,3.0,,active,,,,,UNMAPPED,
att028,patient_attributes,attribute_value_category,full_time,Full Time,3.0,,active,,,,,UNMAPPED,
att029,patient_attributes,attribute_value_category,fully_dependent,Fully Dependent,3.0,,active,,,,,UNMAPPED,
att030,patient_attributes,attribute_value_category,heavy,Heavy,3.0,,active,,,,,UNMAPPED,
att031,patient_attributes,attribute_value_category,history,History,3.0,,active,,,,,UNMAPPED,
att032,patient_attributes,attribute_value_category,housed,Housed,3.0,,active,,,,,UNMAPPED,
att033,patient_attributes,attribute_value_category,independent,Independent,3.0,,active,,,,,UNMAPPED,
att034,patient_attributes,attribute_value_category,insecure,Insecure,3.0,,active,,,,,UNMAPPED,
att035,patient_attributes,attribute_value_category,isolated,Isolated,3.0,,active,,,,,UNMAPPED,
att036,patient_attributes,attribute_value_category,married,Married,3.0,,active,,,,,UNMAPPED,
att037,patient_attributes,attribute_value_category,never,Never,3.0,,active,,,,,UNMAPPED,
att038,patient_attributes,attribute_value_category,none,None,3.0,,active,,,,,UNMAPPED,
att039,patient_attributes,attribute_value_category,not_pregnant,Not Pregnant,3.0,,active,,,,,UNMAPPED,
att040,patient_attributes,attribute_value_category,part_time,Part Time,3.0,,active,,,,,UNMAPPED,
att041,patient_attributes,attribute_value_category,partially_dependent,Partially Dependent,3.0,,active,,,,,UNMAPPED,
att042,patient_attributes,attribute_value_category,postpartum,Postpartum,3.0,,active,,,,,UNMAPPED,
att043,patient_attributes,attribute_value_category,pregnant,Pregnant,3.0,,active,,,,,UNMAPPED,
att044,patient_attributes,attribute_value_category,present,Present,3.0,,active,,,,,UNMAPPED,
att045,patient_attributes,attribute_value_category,retired,Retired,3.0,,active,,,,,UNMAPPED,
att046,patient_attributes,attribute_value_category,safe,Safe,3.0,,active,,,,,UNMAPPED,
att047,patient_attributes,attribute_value_category,secure,Secure,3.0,,active,,,,,UNMAPPED,
att048,patient_attributes,attribute_value_category,separated,Separated,3.0,,active,,,,,UNMAPPED,
att049,patient_attributes,attribute_value_category,single,Single,3.0,,active,,,,,UNMAPPED,
att050,patient_attributes,attribute_value_category,social,Social,3.0,,active,,,,,UNMAPPED,
att051,patient_attributes,attribute_value_category,student,Student,3.0,,active,,,,,UNMAPPED,
att052,patient_attributes,attribute_value_category,undomiciled,Undomiciled,3.0,,active,,,,,UNMAPPED,
att053,patient_attributes,attribute_value_category,unemployed,Unemployed,3.0,,active,,,,,UNMAPPED,
att054,patient_attributes,attribute_value_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
att055,patient_attributes,attribute_value_category,unsafe,Unsafe,3.0,,active,,,,,UNMAPPED,
att056,patient_attributes,attribute_value_category,unstable,Unstable,3.0,,active,,,,,UNMAPPED,
att057,patient_attributes,attribute_value_category,widowed,Widowed,3.0,,active,,,,,UNMAPPED,
