id,table,category_column,mcide,label,versions,version_tokens,status,ontology,concept_id,concept_code,ontology_level,mapping_status,notes
rad001,radiology,radiology_modality_category,ct,Ct,3.0,,active,,,,,UNMAPPED,
rad002,radiology,radiology_modality_category,mr,Mr,3.0,,active,,,,,UNMAPPED,
rad003,radiology,radiology_modality_category,nm,Nm,3.0,,active,,,,,UNMAPPED,
rad004,radiology,radiology_modality_category,other,Other,3.0,,active,,,,,UNMAPPED,
rad005,radiology,radiology_modality_category,us,Us,3.0,,active,,,,,UNMAPPED,
rad006,radiology,radiology_modality_category,xr,Xr,3.0,,active,,,,,UNMAPPED,
rad007,radiology,radiology_region_category,abdomen,Abdomen,3.0,,active,,,,,UNMAPPED,
rad008,radiology,radiology_region_category,abdomen_pelvis,Abdomen Pelvis,3.0,,active,,,,,UNMAPPED,
rad009,radiology,radiology_region_category,brain,Brain,3.0,,active,,,,,UNMAPPED,
rad010,radiology,radiology_region_category,chest,Chest,3.0,,active,,,,,UNMAPPED,
rad011,radiology,radiology_region_category,heart,Heart,3.0,,active,,,,,UNMAPPED,
rad012,radiology,radiology_region_category,lower_extremity,Lower Extremity,3.0,,active,,,,,UNMAPPED,
rad013,radiology,radiology_region_category,maxillofacial,Maxillofacial,3.0,,active,,,,,UNMAPPED,
rad014,radiology,radiology_region_category,neck,Neck,3.0,,active,,,,,UNMAPPED,
rad015,radiology,radiology_region_category,other,Other,3.0,,active,,,,,UNMAPPED,
rad016,radiology,radiology_region_category,pelvis,Pelvis,3.0,,active,,,,,UNMAPPED,
rad017,radiology,radiology_region_category,ruq,Ruq,3.0,,active,,,,,UNMAPPED,
rad018,radiology,radiology_region_category,spine,Spine,3.0,,active,,,,,UNMAPPED,
rad019,radiology,radiology_region_category,upper_extremity,Upper Extremity,3.0,,active,,,,,UNMAPPED,
rad020,radiology,radiology_region_category,vascular,Vascular,3.0,,active,,,,,UNMAPPED,
rad021,radiology,radiology_region_category,whole_body,Whole Body,3.0,,active,,,,,UNMAPPED,
rad022,radiology,iv_contrast_category,not_applicable,Not Applicable,3.0,,active,,,,,UNMAPPED,
rad023,radiology,iv_contrast_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
rad024,radiology,iv_contrast_category,with_and_without_contrast,With And Without Contrast,3.0,,active,,,,,UNMAPPED,
rad025,radiology,iv_contrast_category,with_contrast,With Contrast,3.0,,active,,,,,UNMAPPED,
rad026,radiology,iv_contrast_category,without_contrast,Without Contrast,3.0,,active,,,,,UNMAPPED,
rad027,radiology,radiology_location_category,portable,Portable,3.0,,active,,,,,UNMAPPED,
rad028,radiology,radiology_location_category,radiology,Radiology,3.0,,active,,,,,UNMAPPED,
rad029,radiology,radiology_location_category,unknown,Unknown,3.0,,active,,,,,UNMAPPED,
